kind	id	a	b	t0	r2_or_tfail	extra
fit	8	9.999999999408743	0.004927366682516991	1.480809705919659	0.983166844066943	6.492129987689326
fit	9	9.999878841646428	0.0026732697421378068	2.0933358931265045	0.99438432103625	11.330304281636668
fit	10	9.999999999999998	0.00246927339603098	0.0	0.6011561769741325	9.999950847913974
fit	11	9.999999996495538	0.002062924339072657	2.881830049509224	0.9848159055773859	14.851543204388657
fit	12	0.16658112905408146	0.09071234113700871	1.983221209830196	0.9828432088779405	12.087676308894471
fit	14	9.9999999999678	0.004094627234341193	1.111944825442734	0.9414444625105303	7.142435802339433
unit	id	sigma	S	a	b	t0	t_fail	t_alarm	hit	fa_rate
unit	83	1	0.06271659177689277	8.94459617454187	1.3539019271030017	0.022689539225048343	32.77852046285758	40.246659119214485	1.1875	1	nan
unit	84	0	0.07044084803853763	8.652551455057065	0.0679400326168604	0.00208909166809929	nan	nan	nan	0	688.5
unit	85	1	0.06945089529985875	9.022742269823246	1.3410131695576213	0.0023025150551088565	46.58671302643456	120.82970289363467	1.0069444444444444	1	nan
unit	86	0	0.07651666925824759	8.73794474760024	2.448285042622943	0.007381672527138858	nan	nan	nan	0	122.25
unit	87	1	0.5998237311057958	1.6316276612167815	22.84022836758263	0.0004104545366228723	64.4371514268397	90.95928567495359	0.001388888888888889	1	nan
unit	88	0	0.0713143835022201	9.023670076799482	1.1574092894350496	0.0006223100073994267	nan	nan	nan	0	377.25
unit	89	1	0.2791776079740415	3.163557797834569	1.3232178532202519	0.0014056129047550056	6.370588540833237	129.4888180470074	0.19583333333333333	1	nan
unit	90	0	0.08235991544572548	8.816557300274935	2.995593509961402	0.006090268823029422	nan	nan	nan	0	370.75
unit	91	1	0.07003120857964042	9.03106919272778	4.670609401204529	0.0683308996660365	18.554683526981098	19.31777649358312	0.3375	1	nan
unit	92	0	0.07441020346924392	7.329060131644633	1.4806238412525008	0.008366977151708418	nan	nan	nan	0	11.0
unit	93	1	0.07003120857964042	9.03106919272778	24.52680656234616	0.00135887718229878	35.52627010931795	42.98929299370809	1.0722222222222222	1	nan
unit	94	0	0.07509129666073337	8.448810807808941	1.2938673989619922	0.015956374742482123	nan	nan	nan	0	338.85
unit	95	1	0.06617259937531154	8.92814831892865	2.1839068662144503	0.013834458560921152	31.879159268804543	39.713388297866764	0.07361111111111111	1	nan
unit	96	0	0.0675836924517922	9.494772358585028	4.324240072894278	0.0020348735816309027	nan	nan	nan	0	281.05
unit	97	1	0.43684887945814554	2.2241310401199943	1.014098381103327	0.002080270452199763	28.115926321937163	134.0440773309759	0.09583333333333334	1	nan
unit	98	0	0.07003120857964042	9.03106919272778	8.261373638425008	0.002643717820561071	nan	nan	nan	0	210.5
