cmplid	elapsed_s	elapsed_kind	persist	recovery
812905		none	until_reset	ignition
815697		none	until_reset	ignition
816956		none	until_reset	ignition
817067		none	unreadable	unreadable
817520		none	unreadable	unreadable
817576		none	until_reset	ignition
817611		none	until_reset	ignition
817635		none	unreadable	unreadable
817760		none	until_reset	rest_or_cool
817806		none	unreadable	unreadable
818058		none	unreadable	unreadable
818697		none	until_reset	ignition
818772		none	until_reset	ignition
819135		none	unreadable	unreadable
819549		none	until_reset	ignition
820621		none	unreadable	unreadable
821364		none	unreadable	unreadable
821475		none	unreadable	unreadable
823643		none	until_reset	ignition
824759		none	until_reset	ignition
826351		none	until_reset	ignition
826357		none	unreadable	unreadable
826427		none	until_reset	ignition
827079		none	until_reset	rest_or_cool
827104		none	until_reset	ignition
827423		none	unreadable	unreadable
827678		none	unreadable	spontaneous
828711		none	unreadable	unreadable
829059		none	unreadable	unreadable
829300		none	until_reset	ignition
830613		none	until_reset	ignition
831725		none	unreadable	unreadable
831805		none	until_reset	rest_or_cool
831862		none	unreadable	unreadable
832305		none	unreadable	unreadable
832440		none	until_reset	ignition
832917		none	unreadable	unreadable
834493	300	time	until_reset	ignition
835706		none	unreadable	unreadable
837103		none	until_reset	ignition
837208		none	unreadable	unreadable
837440		none	unreadable	unreadable
837500		none	unreadable	unreadable
837851		none	until_reset	ignition
837978		none	until_reset	ignition
838715		none	unreadable	unreadable
839304		none	unreadable	unreadable
840153		none	until_reset	ignition
840264		none	until_reset	ignition
840267		none	until_reset	ignition
840633		none	unreadable	unreadable
840799		none	unreadable	unreadable
841517		none	unreadable	unreadable
841672		none	unreadable	unreadable
841923		none	unreadable	unreadable
842357		none	unreadable	unreadable
842440		none	until_reset	ignition
842939		none	unreadable	unreadable
844450		none	until_reset	ignition
846134		none	unreadable	unreadable
847147		none	until_reset	ignition
847685		none	unreadable	unreadable
847720		none	unreadable	unreadable
848173		none	unreadable	unreadable
849125		none	until_reset	ignition
850024		none	unreadable	unreadable
850161		none	until_reset	ignition
850558		none	unreadable	unreadable
851051		none	unreadable	unreadable
851573		none	unreadable	unreadable
852567		none	unreadable	unreadable
853254		none	unreadable	unreadable
853369		none	until_reset	ignition
854157		none	unreadable	unreadable
854377		none	unreadable	unreadable
854821		none	until_reset	ignition
855265		none	unreadable	unreadable
855295		none	unreadable	unreadable
855695		none	unreadable	unreadable
855794		none	until_reset	ignition
856013		none	unreadable	spontaneous
856511		none	unreadable	unreadable
857883		none	unreadable	unreadable
857974		none	until_reset	ignition
857976		none	until_reset	ignition
858713		none	until_reset	ignition
859710		none	unreadable	unreadable
860227		none	until_reset	ignition
860389		none	unreadable	unreadable
862482		none	unreadable	unreadable
863626		none	unreadable	unreadable
865246		none	unreadable	unreadable
865364		none	unreadable	unreadable
865553		none	unreadable	unreadable
865599		none	until_reset	ignition
867943		none	unreadable	unreadable
867944		none	unreadable	unreadable
868493		none	unreadable	unreadable
868494		none	unreadable	unreadable
871578		none	until_reset	ignition
871788		none	unreadable	unreadable
872524		none	unreadable	unreadable
872903	900	time	until_reset	ignition
877035		none	unreadable	unreadable
878025		none	momentary	unreadable
879170		none	unreadable	unreadable
879961		none	unreadable	unreadable
881074		none	unreadable	unreadable
883405		none	until_reset	ignition
883416		none	unreadable	spontaneous
883417		none	unreadable	spontaneous
883418		none	unreadable	spontaneous
883958		none	until_reset	ignition
885841		none	until_reset	ignition
886741		none	until_reset	ignition
886919		none	until_reset	ignition
887044		none	until_reset	rest_or_cool
887867		none	unreadable	unreadable
888491		none	unreadable	unreadable
888851		none	unreadable	spontaneous
888909		none	until_reset	ignition
889373		none	unreadable	unreadable
889645		none	unreadable	unreadable
890024		none	unreadable	unreadable
890187		none	momentary	unreadable
892291		none	unreadable	unreadable
893417		none	unreadable	unreadable
893577		none	until_reset	ignition
894636	300	time	until_reset	ignition
895313		none	until_reset	ignition
895431		none	until_reset	rest_or_cool
897860		none	unreadable	unreadable
901998		none	unreadable	unreadable
903249		none	until_reset	ignition
903301		none	until_reset	ignition
904400		none	unreadable	unreadable
906420		none	until_reset	ignition
906751		none	until_reset	ignition
