segment	bias	drift	asymmetry	lag	gain_dev	hf_noise	z_bias	z_drift	z_asymmetry	z_lag	z_gain_dev	z_hf_noise	max_abs_z	top_feature	n_valid	v_mean
00070	-0.0019	-0.00024	0.00833	0.0	-0.00511	0.03591	-0.41794	-0.89808	-0.53131	-0.67449	0.70237	0.03162	0.89808	drift	599	27.22372
00071	0.00121	5e-05		0.2	-0.4689	0.02568	0.5483	0.16895		0.67449	-11.01518	-0.68758	11.01518	gain_dev	600	19.12947
00072	-0.00158	6e-05		0.1	-0.18629	0.0066	-0.31828	0.19147		0.0	-3.87508	-2.02989	3.87508	gain_dev	359	7.82283
00073	-0.00049	0.00046		0.1	-0.00141	0.03282	0.02159	1.66403		0.0	0.79589	-0.18581	1.66403	drift	599	21.04891
00074	-0.00132	4e-05	0.07136	0.2	-0.07175	0.05085	-0.23659	0.13378	1.46269	0.67449	-0.98129	1.08229	1.46269	asymmetry	600	21.41535
00075	0.00214	-0.00061	0.02767	0.2	-0.03134	0.07038	0.83724	-2.29297	0.08072	0.67449	0.03962	2.45615	2.45615	hf_noise	599	30.41337
00076	-0.00673	-0.00102	0.07606	0.1	-0.0499	0.0674	-1.91397	-3.78461	1.61155	0.0	-0.42919	2.24677	3.78461	drift	599	23.22479
00077	0.00312	0.00098	0.08047	0.1	-0.04805	0.06621	1.1385	3.5998	1.75094	0.0	-0.38244	2.16308	3.5998	drift	600	27.7351
00079	-0.00153	-0.0	0.06989	0.2	-0.08026	0.04376	-0.30051	-0.03631	1.41638	0.67449	-1.19624	0.58376	1.41638	asymmetry	600	21.71152
00080	-0.0065	8e-05	0.05028	0.1	-0.03203	0.03785	-1.84322	0.27996	0.79584	0.0	0.02228	0.168	1.84322	bias	599	21.86712
00081	0.00082	0.00031	0.04872	0.1	-0.02139	0.0404	0.42588	1.11737	0.74655	0.0	0.29116	0.3476	1.11737	drift	600	26.28144
00082	0.00017	-8e-05		0.1	-0.0434	0.02319	0.22467	-0.29969		0.0	-0.26493	-0.86325	0.86325	hf_noise	599	19.18762
00083	-0.00303	-0.00023		0.1	-0.03413	0.02475	-0.76801	-0.86431		0.0	-0.03065	-0.75328	0.86431	drift	599	22.38646
00084	0.00456	-0.00039	0.02739	0.1	-0.01761	0.02962	1.5843	-1.45779	0.07172	0.0	0.3867	-0.41084	1.5843	bias	600	24.1895
00085	0.00367	-0.00029		0.2	-0.28416	0.02085	1.30887	-1.10457		0.67449	-6.34773	-1.02732	6.34773	gain_dev	339	18.43005
